"APPENDIX A
1414,1I,Music Services,Men s Concert Choir,GK,1I,Matto on,I/,")riday, )ebruary 03, 1950",Mattoon High School,1I,Assembly Program,1I,1I,7RUE,2 30 pm,"Mattoon High School Gymnasi
um"
1413,1I,Music Services,Men s Concert Choir,GK,1I,"St. Marys
-of- the- Wood s",I1,")riday, )ebruary 03, 1950",St. Marys-of-the- Woods,1I,Convocation,1I,1I,7RUE,10 00 am,"St. Marys- of-the- Woods
Auditori um"
1415,1I,Music Services,Men s Concert Choir,GK,1I,"St.
/ouis",M2,"Sunday, )ebruary 05, 1950",Delmar Baptist Church,1I,"Morning Worship Service - 20 Minute
Sacred",1I,1I,7RUE,10 50 am,Delmar Baptist Church
141,1I,Music Services,Men s Concert Choir,GK,1I,Edwar dsville,I/,"Sunday, )ebruary 05, 1950",St. -ohn s Methodist Church,1I,Concert,1I,1I,7RUE,  30 pm,"St.
-ohn s Methodi
st Church"
141,1I,Music Services,Men s Concert Choir,GK,1I,Spring field,I/,"Monday,
)ebruary 0 , 1950",/anphier High School,1I,Assembly Program,1I,1I,7RUE,10 45 am,"/anphier High School
Gymnasi um"
"Show
ID","Contra
ct Numb er","Contract
ed 7hrough","Group
Name","Condu
ctor","Group
Si]e",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",Event,"Spo
nsor
¶s Cos
t","Miscellan
eous Info","Invoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
1418,NI,"Music
Services","Men s
Concert Choir",GK,NI,"Prince
ton",IN,"7uesday,
)ebruary 0 , 1950","Rotary, Kiwanis,
and /ions Club",NI,"Assembly
Program and Public
Evening Concert",NI,NI,7RUE,"2 30  
  30 pm","Princeto
n High School Gymnasi
um"
1421,NI,Music Services,Men s Concert Choir,GK,NI,Coryd on,IN,"Wednesday,
)ebruary 08,
1950",Corydon High School,NI,Evening Concert,NI,NI,7RUE,  30 pm,"Corydon High School
Gymnasi um"
1419,NI,Music Services,Men s Concert Choir,GK,NI,Boonv ille,IN,"Wednesday,
)ebruary 08,
1950",Boonville High School,NI,Assembly,NI,NI,7RUE,10 15 am,"Boonvill e High School Auditori
um"
